Date,Price_spx,Price_vix,Price_gsci,Price_soy,Price_wheat,Price_corn,Price_sil,Price_plat,Price_gold,Price_png,Price_jnj,Price_exxon,rf,cpi
32874,329.1,,1883.36,,,243.75,5.27,,417.8,7.94,6.55,11.75,7.64,127.5
32875,331.9,21.99,1877.21,566.5,393.25,253.25,5.21,,408.9,7.92,6.7,11.75,7.74,128
32876,339.9,19.73,1890.95,595,351.75,263.75,5.02,,375,8.4,7.02,11.53,7.9,128.6
32877,330.8,19.52,1871.12,632.5,374.25,283,5.02,,371.4,8.76,7.08,11.31,7.77,128.9
32878,361.2,17.37,1857.3,607.25,333.75,272.75,5.15,,368.6,10.25,7.98,12,7.74,129.1
32879,358,15.5,1828.55,623.5,325.75,289.5,4.96,,359.9,10.81,8.47,11.97,7.73,129.9
32880,356.1,21.11,1979.47,594.5,288.25,255.5,4.86,,379.2,10.76,8.83,12.97,7.62,130.5
32881,322.6,29.9,2307.85,601,262.5,233.25,4.83,,389.2,9.55,8.2,12.5,7.45,131.6
32882,306.1,29.11,2837.27,617.5,277.75,237.5,4.83,,408.1,9.04,7.91,12.25,7.36,132.5
32883,304,30.04,2665.57,592,262,239.25,4.2,,381.3,9.75,8.05,12.25,7.17,133.4
32884,322.2,22.16,2490.6,589.5,245,237.75,4.18,505.2,385.7,10.28,8.72,12.66,7.06,133.7
32885,330.2,26.38,2441.68,559.75,260.5,239.5,4.25,508,396.2,10.75,8.97,12.94,6.74,134.2
33239,343.9,20.91,2212.46,566.75,263,252.5,3.87,474.5,368.5,9.83,9.56,12.91,6.22,134.7
33240,367.1,21.23,2243.23,575.75,259.75,251,3.77,474.1,369,10.08,10.27,13.78,5.94,134.8
33241,375.2,16.88,2327.67,574.75,286.75,259.5,3.89,493.7,359.4,10.56,11.98,14.62,5.91,134.8
33242,375.4,18.24,2380.39,576.5,272.75,254,4.02,485.1,357.7,10.4,11.81,14.88,5.65,135.1
33243,389.8,15.93,2379.17,581.75,287,245,4.14,485.2,364.8,10.56,11.33,14.56,5.46,135.6
33244,371.2,19.55,2322.83,528,264.25,224,4.48,480.8,370,9.6,10.44,14.53,5.57,136
33245,387.8,15.18,2441.43,583,294,263.25,4.1,433.1,370.8,10.02,11.45,14.84,5.58,136.2
33246,395.4,14.46,2479.07,579.25,310.5,254.75,3.85,434.4,352.9,10.36,11.61,14.56,5.33,136.6
33247,387.9,15.85,2498.64,587,332.5,257.25,4.17,421.4,357.3,10.53,11.05,14.88,5.22,137
33248,392.5,15.48,2570.31,558,363.5,259.25,4.13,408.7,359.5,10.37,11.89,15.25,4.99,137.2
33249,375.2,20.26,2466.49,557,368.25,247.5,4.09,386.5,371.1,10.05,12.05,14.66,4.56,137.8
33250,417.1,19.31,2291.9,554.75,404.75,257.5,3.91,405.7,353.9,11.64,14.31,15.22,4.07,138.2
33604,408.8,17.4,2354.91,572,440.25,270.25,4.2,389.8,358.9,12.87,13.44,14.56,3.8,138.3
33605,412.7,16.68,2329.08,580.25,401.5,273.5,4.14,396.8,354.1,12.61,12.66,14.28,3.84,138.6
33606,403.7,16.18,2355.11,588.25,379,269.25,4.16,376.8,345.5,12.68,12.19,13.69,4.04,139.1
33607,414.9,15.53,2425.68,574.25,372.25,249.5,4.02,378,337.9,12.81,11.86,15,3.75,139.4
33608,415.4,13.86,2490.85,614,349.5,264,4.04,363,338.4,12.75,12.11,15.16,3.63,139.7
33609,408.1,13.35,2477.12,600.75,349.5,253.25,4.06,339.8,344.4,11.41,11.19,15.47,3.66,140.1
