Date,Price,Open,High,Low,Vol.,Change %
01/01/2025,106.83,108.28,112.87,105.78,307.75M,-0.69%
12/01/2024,107.57,118.05,118.72,104.84,355.12M,-8.81%
11/01/2024,117.96,119.93,123.21,114.84,290.43M,1.01%
10/01/2024,116.78,116.04,126.34,115.93,302.69M,-0.38%
09/01/2024,117.22,115.84,118.16,107.77,320.44M,-0.61%
08/01/2024,117.94,118.35,120.50,113.25,284.67M,-0.55%
07/01/2024,118.59,115.71,119.92,110.42,277.96M,3.01%
06/01/2024,115.12,116.30,116.54,108.18,347.60M,-1.83%
05/01/2024,117.26,118.28,119.89,112.81,415.98M,-0.85%
04/01/2024,118.27,116.41,123.75,115.38,385.77M,1.75%
03/01/2024,116.24,105.72,116.45,104.03,353.95M,11.21%
02/01/2024,104.52,103.57,105.43,100.42,360.92M,1.66%
01/01/2024,102.81,100.92,104.88,95.77,413.19M,2.83%
12/01/2023,99.98,102.50,104.22,97.48,453.94M,-2.69%
11/01/2023,102.74,106.53,109.19,101.15,433.39M,-2.94%
10/01/2023,105.85,117.53,117.79,104.54,493.95M,-9.98%
09/01/2023,117.58,112.20,120.70,112.20,320.62M,5.75%
08/01/2023,111.19,106.95,112.07,104.57,315.95M,3.68%
07/01/2023,107.24,107.49,108.46,100.22,350.40M,-0.01%
06/01/2023,107.25,101.75,109.14,101.26,324.25M,4.96%
05/01/2023,102.18,115.99,117.30,101.74,332.37M,-13.66%
04/01/2023,118.34,113.39,119.92,113.12,293.30M,7.92%
03/01/2023,109.66,109.31,113.84,98.02,412.56M,-0.23%
02/01/2023,109.91,115.83,119.63,108.64,311.25M,-5.26%
01/01/2023,116.01,109.78,117.78,104.76,329.85M,5.18%
12/01/2022,110.30,111.64,112.07,102.37,376.51M,-0.93%
11/01/2022,111.34,112.37,114.66,107.48,368.05M,0.48%
10/01/2022,110.81,90.04,112.91,89.72,431.63M,26.92%
09/01/2022,87.31,94.42,99.19,83.89,411.41M,-8.66%
08/01/2022,95.59,94.79,101.56,86.28,424.56M,-1.38%
07/01/2022,96.93,86.74,97.51,80.69,427.92M,13.18%
06/01/2022,85.64,97.02,105.57,83.52,660.32M,-10.79%
05/01/2022,96.00,85.01,99.78,83.40,659.84M,12.61%
04/01/2022,85.25,81.99,89.80,79.29,505.64M,3.22%
03/01/2022,82.59,78.77,91.50,76.25,853.55M,5.32%
02/01/2022,78.42,76.45,83.08,74.03,628.66M,3.24%
01/01/2022,75.96,61.24,76.42,61.21,607.51M,24.14%
12/01/2021,61.19,60.90,63.35,57.96,433.28M,2.26%
11/01/2021,59.84,65.07,66.38,59.54,416.07M,-7.18%
10/01/2021,64.47,59.41,65.94,59.41,435.21M,9.61%
09/01/2021,58.82,54.49,60.48,52.96,482.96M,7.89%
08/01/2021,54.52,57.55,59.06,52.10,406.38M,-5.30%
07/01/2021,57.57,64.33,64.42,54.60,435.92M,-8.73%
06/01/2021,63.08,59.45,64.93,59.45,526.46M,8.07%
05/01/2021,58.37,57.98,64.02,57.74,521.31M,1.97%
04/01/2021,57.24,56.32,59.48,54.30,457.85M,2.53%
03/01/2021,55.83,56.47,62.55,54.45,790.80M,2.69%
02/01/2021,54.37,45.58,57.24,44.29,544.00M,21.25%
01/01/2021,44.84,41.45,51.08,41.00,594.84M,8.78%
12/01/2020,41.22,38.96,44.47,38.34,603.95M,8.10%
11/01/2020,38.13,33.14,42.08,32.53,704.01M,16.89%
10/01/2020,32.62,33.79,35.95,31.11,630.47M,-4.98%
09/01/2020,34.33,39.75,40.03,33.76,590.86M,-14.05%
08/01/2020,39.94,42.05,46.42,39.31,449.50M,-5.09%
07/01/2020,42.08,44.49,45.38,40.91,447.16M,-5.90%
06/01/2020,44.72,45.32,55.36,43.16,584.99M,-1.65%
05/01/2020,45.47,45.63,47.15,40.20,477.23M,-2.15%
04/01/2020,46.47,36.86,47.68,36.34,791.63M,22.39%
03/01/2020,37.97,52.59,54.15,30.11,1.17B,-26.19%
02/01/2020,51.44,61.38,63.01,48.01,479.92M,-17.19%
01/01/2020,62.12,70.24,71.37,61.86,359.25M,-10.98%
12/01/2019,69.78,68.50,70.54,67.52,286.70M,2.42%
11/01/2019,68.13,68.39,73.12,67.32,249.63M,0.83%
10/01/2019,67.57,70.83,70.91,66.31,244.84M,-4.31%
09/01/2019,70.61,67.89,75.18,67.63,217.79M,3.11%
08/01/2019,68.48,73.74,74.27,66.53,277.65M,-7.91%
07/01/2019,74.36,77.13,77.93,74.18,186.92M,-2.96%
06/01/2019,76.63,71.09,77.76,70.97,218.95M,8.28%
05/01/2019,70.77,79.94,80.26,70.63,250.10M,-11.85%
04/01/2019,80.28,81.23,83.49,79.56,219.52M,-0.64%
03/01/2019,80.80,79.38,82.00,77.86,272.46M,2.24%
02/01/2019,79.03,74.92,79.75,72.73,245.07M,7.85%
01/01/2019,73.28,67.35,73.49,67.25,269.23M,7.46%
12/01/2018,68.19,80.24,81.95,64.65,380.65M,-14.23%
11/01/2018,79.50,79.83,83.75,74.70,287.08M,-0.23%
10/01/2018,79.68,85.35,86.89,76.22,305.91M,-6.28%
09/01/2018,85.02,80.41,87.36,79.60,227.02M,6.05%
08/01/2018,80.17,80.89,81.59,76.51,215.07M,-1.64%
07/01/2018,81.51,81.89,84.40,80.71,204.69M,-1.47%
06/01/2018,82.73,81.87,83.79,79.30,257.83M,1.83%
05/01/2018,81.24,77.26,82.65,75.40,299.34M,4.49%
04/01/2018,77.75,74.27,80.90,72.15,286.11M,4.21%
03/01/2018,74.61,75.53,76.98,72.67,356.74M,-1.49%
02/01/2018,75.74,87.50,89.25,73.90,369.41M,-13.24%
01/01/2018,87.30,83.82,89.30,83.66,233.94M,4.38%
12/01/2017,83.64,83.44,84.36,82.17,220.60M,0.42%
11/01/2017,83.29,83.39,84.14,80.01,191.81M,-0.07%
10/01/2017,83.35,81.30,84.24,81.25,172.41M,1.67%
09/01/2017,81.98,76.37,82.45,76.32,216.25M,7.40%
08/01/2017,76.33,80.16,80.82,76.05,224.41M,-4.64%
07/01/2017,80.04,80.79,82.49,78.27,201.33M,-0.85%
06/01/2017,80.73,80.37,83.69,79.26,303.84M,0.29%
05/01/2017,80.50,81.51,83.23,80.47,220.25M,-1.41%
04/01/2017,81.65,82.02,83.55,80.30,192.62M,-0.44%
03/01/2017,82.01,81.70,84.25,80.31,315.59M,0.85%
02/01/2017,81.32,84.00,84.16,80.76,237.35M,-3.06%
01/01/2017,83.89,90.94,91.34,83.13,252.51M,-7.06%
12/01/2016,90.26,87.98,93.21,86.60,220.44M,3.39%
11/01/2016,87.30,83.50,88.19,82.76,233.15M,4.78%
10/01/2016,83.32,86.94,88.67,82.99,192.04M,-4.54%
09/01/2016,87.28,86.72,89.37,82.29,271.64M,0.16%
08/01/2016,87.14,88.08,88.94,85.58,235.41M,-2.03%
07/01/2016,88.95,93.36,95.55,86.12,210.62M,-5.11%
06/01/2016,93.74,88.43,93.83,87.61,252.32M,5.30%
05/01/2016,89.02,88.24,90.46,87.23,219.17M,0.70%
04/01/2016,88.40,82.40,89.78,81.99,221.80M,5.75%
03/01/2016,83.59,80.56,85.10,80.31,292.84M,4.29%
02/01/2016,80.15,76.66,83.44,73.55,359.84M,2.95%
01/01/2016,77.85,77.50,79.92,71.55,418.95M,-0.13%
12/01/2015,77.95,81.76,82.13,73.79,367.07M,-4.54%
11/01/2015,81.66,82.30,87.43,77.91,264.21M,-1.31%
10/01/2015,82.74,75.20,83.88,73.03,318.13M,11.28%
09/01/2015,74.35,73.30,75.47,71.51,316.64M,-1.18%
08/01/2015,75.24,78.70,79.29,66.55,387.94M,-5.01%
07/01/2015,79.21,83.28,83.53,78.93,274.03M,-4.80%
06/01/2015,83.20,85.25,85.97,82.80,238.81M,-2.35%
05/01/2015,85.20,87.85,90.09,84.77,198.92M,-2.48%
04/01/2015,87.37,85.70,88.67,83.81,251.67M,2.79%
03/01/2015,85.00,88.34,88.52,82.68,330.26M,-4.00%
02/01/2015,88.54,87.85,93.45,87.50,276.45M,1.28%
01/01/2015,87.42,92.25,93.05,86.03,326.82M,-5.44%
12/01/2014,92.45,90.36,95.33,86.19,401.06M,2.11%
11/01/2014,90.54,96.56,97.20,90.11,218.14M,-6.38%
10/01/2014,96.71,94.11,96.89,86.91,342.17M,2.83%
09/01/2014,94.05,99.43,99.59,93.62,231.91M,-5.44%
08/01/2014,99.46,98.62,100.43,97.63,187.50M,0.53%
07/01/2014,98.94,101.15,104.76,98.93,189.43M,-1.73%
06/01/2014,100.68,100.53,104.61,99.59,208.98M,0.15%
05/01/2014,100.53,101.96,103.45,100.32,179.89M,-1.84%
04/01/2014,102.41,97.65,102.57,96.24,230.95M,4.84%
03/01/2014,97.68,95.76,98.85,93.01,255.73M,1.46%
02/01/2014,96.27,91.92,97.25,89.25,253.76M,4.46%
01/01/2014,92.16,100.60,101.21,91.70,257.01M,-8.93%
12/01/2013,101.20,93.27,101.74,92.92,269.33M,8.26%
11/01/2013,93.48,89.74,96.00,88.27,250.39M,4.31%
10/01/2013,89.62,85.99,90.96,84.79,287.73M,4.16%
09/01/2013,86.04,87.70,89.87,85.61,238.61M,-1.28%
08/01/2013,87.16,92.69,93.10,86.39,271.68M,-7.03%
07/01/2013,93.75,90.39,95.49,89.96,237.83M,3.76%
06/01/2013,90.35,90.53,92.27,88.02,291.82M,-0.13%
05/01/2013,90.47,88.52,93.50,87.48,276.14M,1.66%
04/01/2013,88.99,90.13,90.99,85.02,296.40M,-1.24%
03/01/2013,90.11,89.07,90.98,87.90,265.07M,0.63%
02/01/2013,89.55,90.44,90.50,86.59,237.20M,-0.47%
01/01/2013,89.97,87.79,91.93,87.24,261.52M,3.95%
12/01/2012,86.55,88.55,90.37,84.70,282.47M,-1.80%
11/01/2012,88.14,90.25,92.05,85.06,285.71M,-3.32%
10/01/2012,91.17,91.79,93.67,89.68,241.14M,-0.31%
09/01/2012,91.45,87.33,92.57,86.52,254.23M,4.75%
08/01/2012,87.30,87.02,88.91,85.50,248.03M,0.52%
07/01/2012,86.85,85.44,87.85,82.83,314.35M,1.50%
06/01/2012,85.57,77.87,85.70,77.13,498.04M,8.83%
05/01/2012,78.63,86.46,87.52,78.41,353.72M,-8.93%
04/01/2012,86.34,86.60,87.67,81.88,299.38M,-0.45%
03/01/2012,86.73,86.47,87.25,84.05,338.93M,0.27%
02/01/2012,86.50,84.23,87.83,83.19,300.74M,3.30%
01/01/2012,83.74,85.97,87.94,83.46,333.58M,-1.20%
12/01/2011,84.76,80.20,85.63,78.66,380.18M,5.37%
11/01/2011,80.44,75.82,80.53,73.90,444.37M,3.01%
10/01/2011,78.09,72.05,82.20,69.21,514.19M,7.52%
09/01/2011,72.63,74.15,74.98,67.93,550.57M,-1.88%
08/01/2011,74.02,80.82,81.18,67.03,774.22M,-7.23%
07/01/2011,79.79,81.19,85.41,79.76,375.51M,-1.95%
06/01/2011,81.38,83.55,83.65,76.72,444.45M,-2.50%
05/01/2011,83.47,88.10,88.13,79.42,404.05M,-5.13%
04/01/2011,87.98,84.72,88.00,82.38,309.97M,4.58%
03/01/2011,84.13,86.41,86.50,78.80,439.64M,-1.64%
02/01/2011,85.53,81.14,88.23,81.04,443.66M,6.01%
01/01/2011,80.68,73.72,80.82,73.64,449.43M,10.34%
12/01/2010,73.12,70.38,73.69,70.38,409.27M,5.12%
11/01/2010,69.56,66.72,71.90,66.63,486.41M,4.62%
10/01/2010,66.49,62.32,66.81,61.80,430.50M,7.61%
09/01/2010,61.79,60.04,62.44,59.72,423.42M,4.53%
08/01/2010,59.11,60.64,62.99,58.05,475.74M,-0.96%
07/01/2010,59.68,56.98,61.88,55.94,613.53M,4.57%
06/01/2010,57.07,60.38,64.50,56.92,808.57M,-5.61%
05/01/2010,60.46,68.11,68.22,58.46,768.71M,-10.79%
04/01/2010,67.77,67.27,70.00,66.85,531.34M,1.18%
03/01/2010,66.98,65.36,67.89,65.08,582.81M,3.05%
02/01/2010,65.00,65.77,67.23,63.56,534.89M,0.88%
01/01/2010,64.43,68.72,70.60,64.02,596.54M,-5.51%
12/01/2009,68.19,76.00,76.30,67.64,648.98M,-9.16%
11/01/2009,75.07,72.05,76.54,71.04,356.45M,4.74%
10/01/2009,71.67,68.39,75.00,66.11,501.34M,4.46%
09/01/2009,68.61,68.93,71.08,67.83,419.23M,-0.78%
08/01/2009,69.15,70.96,71.89,66.09,437.71M,-1.76%
07/01/2009,70.39,70.67,72.79,64.46,560.37M,0.69%
06/01/2009,69.91,70.46,74.83,68.08,597.02M,0.81%
05/01/2009,69.35,67.13,71.39,65.60,530.59M,4.02%
04/01/2009,66.67,67.04,71.15,64.50,632.90M,-2.10%
03/01/2009,68.10,67.00,71.49,61.86,933.53M,0.29%
02/01/2009,67.90,76.06,80.50,67.90,771.58M,-11.22%
01/01/2009,76.48,80.06,82.73,74.01,844.78M,-4.20%
12/01/2008,79.83,77.89,83.64,72.68,997.77M,-0.40%
11/01/2008,80.15,73.45,81.03,67.54,1.01B,8.14%
10/01/2008,74.12,77.19,81.75,56.51,1.38B,-4.56%
09/01/2008,77.66,78.04,82.00,71.51,770.96M,-2.94%
