Date,Price,Open,High,Low,Vol.,Change %
01/01/2025,3777.23,3661.28,3918.48,3659.25,,3.32%
12/01/2024,3655.99,3534.47,3668.73,3505.20,,3.28%
11/01/2024,3539.95,3551.63,3635.54,3464.92,,0.06%
10/01/2024,3537.79,3521.94,3753.88,3475.00,,0.45%
09/01/2024,3521.77,3526.59,3594.76,3307.02,,-0.08%
08/01/2024,3524.63,3587.20,3615.75,3396.15,,-1.72%
07/01/2024,3586.43,3719.08,3810.00,3497.06,,-3.52%
06/01/2024,3717.39,3664.02,3762.94,3555.35,,1.43%
05/01/2024,3665.10,3730.58,3806.37,3634.49,,-1.90%
04/01/2024,3736.14,3696.86,3857.44,3678.09,,1.16%
03/01/2024,3693.33,3526.87,3696.56,3516.73,,4.73%
02/01/2024,3526.54,3496.09,3553.48,3378.58,,0.87%
01/01/2024,3496.06,3348.55,3564.92,3287.34,,4.47%
12/01/2023,3346.58,3461.91,3479.74,3218.98,,-3.31%
11/01/2023,3461.11,3596.90,3668.33,3389.37,,-3.64%
10/01/2023,3592.04,3750.28,3776.93,3515.79,,-4.18%
09/01/2023,3748.92,3601.26,3832.89,3599.68,,4.12%
08/01/2023,3600.72,3579.47,3640.71,3471.50,,0.60%
07/01/2023,3579.36,3231.22,3581.41,3209.10,,10.74%
06/01/2023,3232.35,3096.86,3345.67,3086.58,,4.39%
05/01/2023,3096.40,3299.17,3299.17,3057.83,,-6.11%
04/01/2023,3297.81,3417.93,3487.76,3222.38,,-0.76%
03/01/2023,3323.01,3355.70,3450.97,3062.22,,-1.07%
02/01/2023,3359.08,3493.16,3509.02,3256.13,,-3.83%
01/01/2023,3492.71,3500.16,3582.21,3263.97,,-0.09%
12/01/2022,3495.76,3549.23,3610.42,3249.94,,-1.38%
11/01/2022,3544.68,3602.91,3809.35,3372.38,,-1.71%
10/01/2022,3606.18,3403.63,3759.56,3403.63,,6.70%
09/01/2022,3379.58,3665.54,3682.95,3290.08,,-7.80%
08/01/2022,3665.54,3767.07,3869.69,3481.05,,-2.68%
07/01/2022,3766.42,3768.20,3882.48,3436.91,,-0.04%
06/01/2022,3768.02,4083.94,4319.55,3768.02,,-7.64%
05/01/2022,4079.85,3880.46,4219.27,3713.46,,5.07%
04/01/2022,3882.99,3693.94,4022.36,3580.05,,5.12%
03/01/2022,3693.88,3371.77,4310.02,3371.77,,9.63%
02/01/2022,3369.30,3099.49,3504.27,3073.53,,8.77%
01/01/2022,3097.53,2780.15,3120.34,2761.37,,11.63%
12/01/2021,2774.73,2585.56,2832.94,2512.32,,7.59%
11/01/2021,2578.94,2891.85,2924.52,2549.14,,-10.82%
10/01/2021,2891.95,2733.43,2949.16,2720.65,,5.80%
09/01/2021,2733.49,2577.90,2769.85,2545.57,,6.03%
08/01/2021,2577.95,2637.65,2639.29,2414.77,,-2.30%
07/01/2021,2638.69,2597.90,2663.41,2458.03,,1.57%
06/01/2021,2597.79,2496.66,2608.39,2483.02,,4.29%
05/01/2021,2490.86,2430.25,2545.78,2395.79,,2.52%
04/01/2021,2429.60,2244.43,2458.99,2213.72,,8.23%
03/01/2021,2244.83,2309.14,2408.95,2200.99,,-2.15%
02/01/2021,2294.25,2077.89,2371.82,2075.42,,10.58%
01/01/2021,2074.70,1978.92,2113.11,1962.74,,4.94%
12/01/2020,1976.96,1866.27,1978.19,1842.03,,5.97%
11/01/2020,1865.57,1633.14,1884.25,1627.62,,12.04%
10/01/2020,1665.08,1726.27,1785.47,1637.04,,-3.57%
09/01/2020,1726.81,1792.40,1814.08,1659.76,,-3.64%
08/01/2020,1792.03,1716.04,1816.64,1701.04,,4.59%
07/01/2020,1713.46,1654.50,1746.13,1646.91,,3.80%
06/01/2020,1650.79,1570.09,1693.13,1547.91,,5.09%
05/01/2020,1570.82,1358.57,1575.00,1322.16,,16.37%
04/01/2020,1349.82,1490.56,1657.66,1193.37,,-9.67%
03/01/2020,1494.34,2116.04,2235.91,1458.65,,-29.43%
02/01/2020,2117.39,2300.19,2400.97,2091.75,,-8.39%
01/01/2020,2311.29,2595.29,2693.53,2299.63,,-10.82%
12/01/2019,2591.86,2429.69,2634.12,2419.72,,6.99%
11/01/2019,2422.57,2423.27,2518.46,2411.72,,-0.01%
10/01/2019,2422.88,2393.99,2482.55,2194.69,,1.24%
09/01/2019,2393.09,2352.92,2591.89,2301.57,,1.75%
08/01/2019,2351.95,2483.06,2483.06,2278.19,,-5.62%
07/01/2019,2492.08,2514.68,2572.58,2420.32,,-0.21%
06/01/2019,2497.37,2392.04,2540.59,2316.35,,4.43%
05/01/2019,2391.42,2605.00,2623.94,2387.01,,-8.21%
04/01/2019,2605.41,2536.14,2675.15,2536.03,,2.85%
03/01/2019,2533.23,2493.02,2569.77,2424.69,,1.61%
02/01/2019,2493.11,2401.69,2522.46,2362.12,,3.81%
01/01/2019,2401.53,2209.31,2443.84,2175.81,,8.99%
12/01/2018,2203.47,2407.03,2485.72,2153.43,,-7.75%
11/01/2018,2388.63,2689.05,2701.76,2350.83,,-11.28%
10/01/2018,2692.36,2861.87,2966.86,2686.51,,-5.84%
09/01/2018,2859.44,2754.79,2871.90,2681.39,,3.93%
08/01/2018,2751.35,2722.07,2766.41,2600.23,,1.08%
07/01/2018,2722.02,2815.14,2816.54,2623.30,,-3.53%
06/01/2018,2821.65,2785.28,2827.59,2647.15,,1.36%
05/01/2018,2783.92,2744.34,2878.33,2706.39,,1.45%
04/01/2018,2744.20,2614.69,2765.52,2534.58,,5.04%
03/01/2018,2612.60,2555.94,2640.10,2516.94,,2.22%
02/01/2018,2555.82,2645.66,2677.28,2451.67,,-3.34%
01/01/2018,2644.13,2558.62,2697.19,2551.92,,3.42%
12/01/2017,2556.71,2449.67,2561.91,2388.44,,4.41%
11/01/2017,2448.66,2416.50,2504.59,2403.89,,1.38%
10/01/2017,2415.28,2326.36,2421.06,2273.15,,3.82%
09/01/2017,2326.46,2249.78,2365.97,2233.99,,3.32%
08/01/2017,2251.67,2270.33,2280.23,2168.45,,-0.78%
07/01/2017,2269.29,2169.99,2271.73,2118.51,,4.58%
06/01/2017,2169.81,2213.23,2230.38,2045.22,,-1.92%
05/01/2017,2212.33,2247.28,2312.10,2119.45,,-1.54%
04/01/2017,2246.85,2295.37,2369.09,2213.91,,-2.11%
03/01/2017,2295.19,2388.17,2407.46,2210.11,,-3.91%
02/01/2017,2388.70,2383.06,2433.69,2358.99,,0.23%
01/01/2017,2383.16,2417.41,2451.40,2347.33,,-1.41%
12/01/2016,2417.31,2304.39,2443.59,2302.33,,4.72%
11/01/2016,2308.46,2267.73,2321.13,2118.01,,2.53%
10/01/2016,2251.39,2284.91,2377.81,2248.04,,-1.50%
09/01/2016,2285.61,2196.52,2293.91,2150.65,,4.14%
08/01/2016,2194.65,2151.56,2344.48,2093.00,,1.77%
07/01/2016,2156.50,2388.54,2403.12,2117.46,,-9.57%
06/01/2016,2384.66,2377.51,2509.45,2311.09,,0.08%
05/01/2016,2382.75,2325.00,2408.79,2204.10,,2.22%
04/01/2016,2331.04,2113.68,2350.86,2022.78,,10.14%
03/01/2016,2116.44,2017.20,2229.88,1998.66,,4.93%
02/01/2016,2016.99,2047.59,2059.67,1868.76,,-2.01%
01/01/2016,2058.38,2181.27,2211.55,1837.41,,-5.17%
12/01/2015,2170.62,2377.32,2397.20,2114.04,,-8.63%
11/01/2015,2375.62,2605.59,2658.99,2342.59,,-8.97%
10/01/2015,2609.60,2614.46,2783.71,2511.67,,0.23%
09/01/2015,2603.62,2779.50,2779.50,2566.08,,-6.33%
08/01/2015,2779.47,2767.53,2783.15,2439.23,,0.30%
07/01/2015,2771.17,3214.82,3217.18,2761.49,,-14.10%
06/01/2015,3226.12,3224.00,3299.55,3116.20,,-0.11%
05/01/2015,3229.74,3295.91,3392.48,3119.21,,-1.99%
04/01/2015,3295.22,2964.33,3298.09,2957.77,,11.06%
03/01/2015,2967.12,3184.71,3184.79,2866.12,,-6.81%
02/01/2015,3183.79,2990.75,3239.28,2950.70,,6.47%
01/01/2015,2990.45,3232.96,3259.42,2856.10,,-7.50%
12/01/2014,3232.80,3719.84,3836.87,3209.39,,-13.63%
11/01/2014,3742.98,4201.17,4224.44,3734.98,,-10.92%
10/01/2014,4201.84,4472.26,4517.94,4103.66,,-5.98%
09/01/2014,4469.27,4751.71,4751.71,4460.92,,-6.02%
08/01/2014,4755.75,4832.12,4848.96,4654.92,,-1.64%
07/01/2014,4835.02,5106.23,5115.85,4828.33,,-5.30%
06/01/2014,5105.46,4996.46,5213.72,4950.44,,2.12%
05/01/2014,4999.62,5006.83,5085.02,4963.40,,-0.18%
04/01/2014,5008.40,4969.84,5092.39,4861.58,,0.74%
03/01/2014,4971.54,4969.49,5070.25,4876.43,,0.14%
02/01/2014,4964.60,4747.56,5003.83,4715.19,,4.51%
01/01/2014,4750.44,4833.10,4850.40,4615.00,,-1.64%
12/01/2013,4829.47,4742.90,4908.00,4725.00,,1.93%
11/01/2013,4738.15,4775.50,4789.50,4630.60,,-0.78%
10/01/2013,4775.37,4845.60,4940.80,4755.90,,-1.44%
09/01/2013,4845.28,5018.40,5074.60,4813.70,,-3.39%
08/01/2013,5015.39,4854.30,5155.80,4742.60,,3.38%
07/01/2013,4851.60,4623.90,4969.50,4609.20,,4.91%
06/01/2013,4624.37,4615.60,4821.70,4573.50,,0.23%
05/01/2013,4613.59,4658.30,4769.90,4560.40,,-1.49%
04/01/2013,4683.33,4900.30,4922.70,4472.90,,-4.73%
03/01/2013,4915.86,4869.60,4947.10,4800.80,,0.77%
02/01/2013,4878.31,5106.40,5148.50,4865.10,,-4.39%
01/01/2013,5102.05,4909.30,5115.30,4857.00,,4.36%
12/01/2012,4889.01,4936.60,4974.40,4763.40,,-0.65%
11/01/2012,4920.92,4845.60,4938.20,4733.10,,1.48%
10/01/2012,4849.29,5040.10,5131.10,4813.80,,-4.07%
09/01/2012,5054.81,5172.60,5309.00,4910.40,,-1.42%
08/01/2012,5127.74,4812.10,5183.20,4766.40,,6.37%
07/01/2012,4820.88,4510.30,4965.50,4463.80,,6.37%
06/01/2012,4532.03,4471.20,4541.50,4200.10,,1.20%
05/01/2012,4478.23,5141.10,5177.40,4465.60,,-12.98%
04/01/2012,5146.09,5191.70,5273.20,5019.00,,-0.51%
03/01/2012,5172.64,5296.60,5402.20,5113.90,,-2.35%
02/01/2012,5297.13,5005.80,5389.50,4941.30,,6.06%
01/01/2012,4994.31,4929.70,5101.90,4895.70,,2.23%
12/01/2011,4885.26,4996.80,5053.90,4646.40,,-2.11%
11/01/2011,4990.43,4914.20,5112.30,4769.00,,1.42%
