Date,Price,Open,High,Low,Vol.,Change %
01/01/2025,152.15,145.23,154.14,140.68,192.83M,5.21%
12/01/2024,144.62,154.75,155.00,142.75,177.84M,-6.70%
11/01/2024,155.01,160.58,161.06,150.76,153.34M,-3.03%
10/01/2024,159.86,162.43,166.75,158.77,133.03M,-1.36%
09/01/2024,162.06,165.24,168.85,160.02,120.36M,-2.29%
08/01/2024,165.86,158.48,165.98,156.44,150.66M,5.07%
07/01/2024,157.85,146.07,161.58,144.50,151.36M,8.00%
06/01/2024,146.16,147.25,149.72,143.88,132.52M,-0.35%
05/01/2024,146.67,148.74,154.86,143.71,174.62M,1.44%
04/01/2024,144.59,157.72,158.15,143.13,176.04M,-8.60%
03/01/2024,158.19,161.83,163.11,154.76,140.40M,-1.98%
02/01/2024,161.38,158.16,162.25,154.84,158.29M,1.56%
01/01/2024,158.90,156.93,163.58,156.79,138.21M,1.38%
12/01/2023,156.74,156.44,160.02,151.77,146.55M,1.34%
11/01/2023,154.66,149.19,155.14,145.64,131.09M,4.26%
10/01/2023,148.34,155.42,159.27,144.95,152.90M,-4.76%
09/01/2023,155.75,161.42,165.27,155.26,147.24M,-3.67%
08/01/2023,161.68,166.37,175.97,161.28,1.08B,-3.49%
07/01/2023,167.53,164.34,175.36,157.33,201.43M,1.21%
06/01/2023,165.52,154.54,166.27,153.15,146.82M,6.75%
05/01/2023,155.06,163.60,166.18,153.32,132.12M,-5.28%
04/01/2023,163.70,154.95,167.23,153.94,146.07M,5.61%
03/01/2023,155.00,153.01,156.25,150.11,185.73M,1.14%
02/01/2023,153.26,162.99,166.34,153.04,164.79M,-6.22%
01/01/2023,163.42,176.16,180.93,161.05,160.52M,-7.49%
12/01/2022,176.65,179.00,181.04,174.07,129.81M,-0.76%
11/01/2022,178.00,174.06,178.12,166.82,138.34M,2.32%
10/01/2022,173.97,164.29,175.39,159.17,139.41M,6.49%
09/01/2022,163.36,161.49,167.67,160.81,168.29M,1.25%
08/01/2022,161.34,174.17,175.49,161.27,157.26M,-7.55%
07/01/2022,174.52,177.45,179.99,169.76,114.64M,-1.68%
06/01/2022,177.51,179.15,183.35,167.26,159.33M,-1.13%
05/01/2022,179.53,180.47,181.74,172.69,152.74M,-0.52%
04/01/2022,180.46,177.05,186.69,175.52,163.46M,1.82%
03/01/2022,177.23,163.04,180.21,162.41,180.11M,7.69%
02/01/2022,164.57,171.74,173.62,155.72,154.62M,-4.48%
01/01/2022,172.29,170.21,174.30,158.26,165.57M,0.71%
12/01/2021,171.07,156.88,173.51,156.25,167.98M,9.71%
11/01/2021,155.93,163.16,167.62,155.85,164.28M,-4.27%
10/01/2021,162.88,161.53,166.03,157.34,136.33M,0.85%
09/01/2021,161.50,172.90,175.22,161.41,132.04M,-6.72%
08/01/2021,173.13,172.47,179.92,171.30,114.79M,0.54%
07/01/2021,172.20,164.74,173.38,164.63,133.73M,4.53%
06/01/2021,164.74,170.15,170.20,161.79,145.67M,-2.66%
05/01/2021,169.25,163.60,172.74,163.12,133.90M,4.01%
04/01/2021,162.73,162.60,167.79,156.53,162.67M,-0.99%
03/01/2021,164.35,161.45,167.03,151.47,175.08M,3.72%
02/01/2021,158.46,165.31,167.94,157.97,147.69M,-2.86%
01/01/2021,163.13,157.24,173.65,154.13,184.50M,3.65%
12/01/2020,157.38,146.29,157.66,145.86,158.93M,8.78%
11/01/2020,144.68,138.98,151.30,137.49,153.64M,5.52%
10/01/2020,137.11,149.31,153.14,133.65,137.29M,-7.91%
09/01/2020,148.88,153.87,155.47,142.96,138.80M,-2.95%
08/01/2020,153.41,146.39,154.40,145.82,109.98M,5.25%
07/01/2020,145.76,140.69,151.67,140.06,137.89M,3.65%
06/01/2020,140.63,147.29,150.03,137.02,174.06M,-5.46%
05/01/2020,148.75,149.62,153.62,143.01,136.21M,-0.86%
04/01/2020,150.04,127.70,157.00,125.50,234.39M,14.42%
03/01/2020,131.13,134.78,143.64,109.16,355.93M,-2.49%
02/01/2020,134.48,149.42,154.50,130.82,147.30M,-9.67%
01/01/2020,148.87,145.87,151.19,141.38,150.33M,2.06%
12/01/2019,145.87,137.72,147.84,136.16,128.93M,6.09%
11/01/2019,137.49,132.05,138.63,129.68,127.80M,4.13%
10/01/2019,132.04,130.02,137.49,126.10,208.22M,2.06%
09/01/2019,129.38,127.99,132.78,126.34,124.20M,0.79%
08/01/2019,128.36,130.26,134.10,126.63,176.53M,-1.43%
07/01/2019,130.22,140.20,142.47,127.84,159.85M,-6.50%
06/01/2019,139.28,131.50,144.98,131.04,150.88M,6.20%
05/01/2019,131.15,140.95,142.35,128.52,159.04M,-7.12%
04/01/2019,141.20,139.99,141.45,134.42,124.33M,1.01%
03/01/2019,139.79,137.22,140.00,135.74,137.36M,2.31%
02/01/2019,136.64,134.02,137.95,131.26,119.46M,2.68%
01/01/2019,133.08,128.13,135.19,125.00,174.40M,3.12%
12/01/2018,129.05,145.57,148.99,121.00,289.17M,-12.15%
11/01/2018,146.90,140.07,148.75,139.00,152.75M,4.94%
10/01/2018,139.99,138.26,141.43,132.23,167.97M,1.32%
09/01/2018,138.17,134.69,143.13,133.44,122.17M,2.58%
08/01/2018,134.69,132.39,137.43,128.93,124.00M,1.64%
07/01/2018,132.52,121.34,132.64,120.11,145.91M,9.21%
06/01/2018,121.34,120.38,124.85,119.97,139.91M,1.44%
05/01/2018,119.62,126.32,127.61,118.62,139.53M,-5.43%
04/01/2018,126.49,127.82,132.88,123.54,144.14M,-1.30%
03/01/2018,128.15,129.11,135.70,124.90,151.84M,-1.33%
02/01/2018,129.88,137.53,140.67,122.15,177.03M,-6.01%
01/01/2018,138.19,139.66,148.32,138.10,170.95M,-1.10%
