Date,Price,Open,High,Low,Vol.,Change %
01/01/2025,165.99,168.09,169.94,157.47,147.59M,-0.99%
12/01/2024,167.65,179.12,180.16,166.36,133.89M,-6.48%
11/01/2024,179.26,165.31,180.43,159.81,149.96M,8.52%
10/01/2024,165.18,173.24,174.90,165.09,146.90M,-4.63%
09/01/2024,173.20,171.03,177.94,170.38,152.45M,0.97%
08/01/2024,171.54,160.88,171.89,160.68,143.60M,6.71%
07/01/2024,160.76,165.59,170.92,158.04,142.58M,-2.52%
06/01/2024,164.92,163.93,169.41,163.63,120.69M,0.23%
05/01/2024,164.54,163.28,168.54,161.42,121.10M,0.82%
04/01/2024,163.20,161.78,164.32,153.52,154.79M,0.59%
03/01/2024,162.25,158.05,163.14,157.61,115.52M,2.08%
02/01/2024,158.94,156.77,161.74,154.91,124.49M,1.15%
01/01/2024,157.14,146.36,158.50,146.28,181.45M,7.23%
12/01/2023,146.54,153.33,153.49,142.50,143.35M,-4.55%
11/01/2023,153.52,150.68,153.63,148.83,133.59M,2.33%
10/01/2023,150.03,144.78,151.38,141.45,141.70M,2.86%
09/01/2023,145.86,154.90,155.32,144.82,104.38M,-5.49%
08/01/2023,154.34,155.88,158.38,150.93,110.24M,-1.25%
07/01/2023,156.30,151.48,157.68,146.96,134.10M,3.01%
06/01/2023,151.74,143.25,152.07,142.45,133.47M,6.48%
05/01/2023,142.50,156.03,157.57,141.90,130.13M,-8.88%
04/01/2023,156.38,148.43,158.11,147.09,115.64M,5.17%
03/01/2023,148.69,138.05,148.69,136.10,154.93M,8.09%
02/01/2023,137.56,142.08,144.10,135.83,121.96M,-3.39%
01/01/2023,142.38,150.95,154.80,138.73,150.06M,-6.06%
12/01/2022,151.56,149.53,154.65,148.08,132.27M,1.61%
11/01/2022,149.16,134.70,149.16,130.96,133.88M,10.76%
10/01/2022,134.67,127.25,135.67,122.18,144.77M,6.67%
09/01/2022,126.25,137.83,141.80,126.21,147.90M,-8.47%
08/01/2022,137.94,138.34,150.63,137.86,137.59M,-0.70%
07/01/2022,138.91,144.24,148.61,138.23,131.17M,-3.39%
06/01/2022,143.79,148.00,148.12,129.50,168.59M,-2.77%
05/01/2022,147.88,161.60,162.00,139.18,169.28M,-7.89%
04/01/2022,160.55,153.52,164.90,151.26,151.99M,5.07%
03/01/2022,152.80,154.31,156.47,143.03,170.28M,-1.98%
02/01/2022,155.89,160.79,164.98,150.56,155.78M,-2.84%
01/01/2022,160.45,161.69,165.35,156.04,195.19M,-1.91%
12/01/2021,163.58,144.85,164.98,144.85,190.13M,13.14%
11/01/2021,144.58,143.36,149.71,142.28,138.04M,1.11%
10/01/2021,142.99,139.93,144.87,137.60,137.10M,2.28%
09/01/2021,139.80,142.33,147.23,139.53,148.06M,-1.82%
08/01/2021,142.39,141.77,145.98,140.80,125.30M,0.11%
07/01/2021,142.23,135.43,144.54,134.92,152.02M,5.41%
06/01/2021,134.93,135.79,136.84,131.94,186.29M,0.06%
05/01/2021,134.85,134.03,139.10,133.37,197.97M,1.07%
04/01/2021,133.42,135.05,138.59,130.29,166.86M,-1.48%
03/01/2021,135.43,124.16,137.60,121.54,206.51M,9.63%
02/01/2021,123.53,129.00,130.72,121.82,150.96M,-3.65%
01/01/2021,128.21,139.66,141.04,127.44,154.86M,-7.86%
12/01/2020,139.14,139.16,140.07,134.20,144.23M,0.19%
11/01/2020,138.87,138.51,146.92,136.74,133.96M,1.29%
10/01/2020,137.10,139.58,145.87,134.68,126.56M,-1.36%
09/01/2020,138.99,137.86,141.70,134.70,128.87M,0.48%
08/01/2020,138.33,130.47,139.69,130.47,121.96M,5.50%
07/01/2020,131.12,119.65,132.03,118.90,142.77M,9.66%
06/01/2020,119.57,116.00,121.82,113.76,175.94M,3.15%
05/01/2020,115.92,117.60,118.37,111.25,157.45M,-1.65%
04/01/2020,117.87,107.95,124.99,107.00,245.06M,7.15%
03/01/2020,110.00,113.19,124.69,94.34,343.55M,-2.85%
02/01/2020,113.23,124.66,128.09,106.67,149.85M,-9.14%
01/01/2020,124.62,124.50,127.00,121.86,153.64M,-0.22%
12/01/2019,124.90,121.94,126.60,120.96,137.97M,2.33%
11/01/2019,122.06,124.83,125.14,118.24,125.23M,-1.97%
10/01/2019,124.51,124.36,125.77,116.17,153.80M,0.10%
09/01/2019,124.38,119.79,125.36,119.01,140.94M,3.45%
08/01/2019,120.23,118.56,122.00,112.68,164.69M,1.86%
07/01/2019,118.04,109.92,121.76,109.61,166.96M,7.65%
06/01/2019,109.65,103.15,112.63,102.40,151.13M,6.55%
