Date,Price,Open,High,Low,Vol.,Change %
01/01/2025,"1,033.20",894.2,"1,018.00",894.2,0.66K,15.57%
12/01/2024,894,945.9,958.5,893.5,5.00K,-5.85%
11/01/2024,949.5,995.1,"1,000.40",923.3,0.07K,-4.25%
10/01/2024,991.6,977.6,"1,053.80",948,0.31K,1.29%
09/01/2024,979,905.3,"1,018.60",903.8,1.84K,5.52%
08/01/2024,927.8,967.2,980.2,911.3,0.09K,-5.54%
07/01/2024,982.2,983.2,"1,039.20",941.2,0.14K,-1.97%
06/01/2024,"1,001.90",963.2,"1,016.70",961.2,3.41K,-3.45%
05/01/2024,"1,037.70",950.4,"1,055.00",950.4,0.06K,10.25%
04/01/2024,941.2,909,982.3,894.5,0.40K,3.69%
03/01/2024,907.7,903.8,909.1,888.8,3.12K,3.16%
02/01/2024,879.9,881.9,881.9,877.6,0.03K,-4.81%
01/01/2024,924.4,990,998.3,878.8,0.28K,-7.10%
12/01/2023,995,981.5,"1,016.00",981.5,1.30K,6.85%
11/01/2023,931.2,930.2,930.2,930.2,0.01K,-0.57%
10/01/2023,936.5,909.5,910.4,850.5,0.68K,3.28%
09/01/2023,906.8,888.6,920.9,884.7,3.81K,-6.64%
08/01/2023,971.3,908.6,931.7,908.4,0.03K,2.27%
07/01/2023,949.7,900,974.4,897.8,0.26K,5.00%
06/01/2023,904.5,910.9,919.7,884,2.15K,-10.19%
05/01/2023,"1,007.10","1,007.10","1,007.10","1,007.10",,-7.45%
04/01/2023,"1,088.20",985,"1,101.70",985,0.06K,9.47%
03/01/2023,994.1,967.6,997,962,0.93K,4.07%
02/01/2023,955.2,957.5,967.5,903.4,0.01K,-5.61%
01/01/2023,"1,012.00","1,078.70","1,100.50","1,014.00",0.97K,-5.75%
12/01/2022,"1,073.70","1,013.30","1,077.50","1,010.30",3.65K,2.03%
11/01/2022,"1,052.30","1,052.30","1,052.30","1,052.30",,12.02%
10/01/2022,939.4,895,965,890,0.29K,7.98%
09/01/2022,870,809.8,883.4,806.4,2.10K,5.28%
08/01/2022,826.4,883.8,883.8,865.2,0.01K,-6.61%
07/01/2022,884.9,880,892.4,842,0.35K,-1.50%
06/01/2022,898.4,903.3,932.8,888.1,1.35K,-7.31%
05/01/2022,969.3,979.5,979.5,944.5,0.31K,3.38%
04/01/2022,937.6,992.8,"1,016.20",899.4,1.33K,-5.53%
03/01/2022,992.5,"1,056.20","1,154.00",980.1,2.00K,-4.37%
02/01/2022,"1,037.80","1,059.00","1,063.90","1,041.00",0.01K,1.82%
01/01/2022,"1,019.20",978.2,"1,053.40",924,0.48K,5.68%
12/01/2021,964.4,911.7,971,911.7,1.60K,4.08%
11/01/2021,926.6,"1,039.10","1,039.10",957.2,0.37K,-9.12%
10/01/2021,"1,019.60",957.7,"1,064.30",949.2,1.07K,6.11%
09/01/2021,960.9,"1,001.70","1,001.90",912,2.21K,-5.23%
08/01/2021,"1,013.90","1,010.90","1,010.90",965.1,0.65K,-3.15%
07/01/2021,"1,046.90","1,063.20","1,128.80","1,052.80",0.90K,-2.20%
06/01/2021,"1,070.50","1,091.30","1,093.10","1,048.20",5.34K,-9.34%
05/01/2021,"1,180.80","1,241.00","1,241.00","1,172.00",0.01K,-1.85%
04/01/2021,"1,203.00","1,188.40","1,246.00","1,156.40",0.34K,1.22%
03/01/2021,"1,188.50","1,188.00","1,217.50","1,153.20",6.29K,0.42%
02/01/2021,"1,183.50","1,092.90","1,250.70","1,092.90",0.51K,10.01%
01/01/2021,"1,075.80","1,085.40","1,128.50","1,043.50",1.16K,0.04%
12/01/2020,"1,075.40","1,040.40","1,082.80","1,040.40",1.53K,11.54%
11/01/2020,964.1,844.5,891,843.9,0.36K,14.15%
10/01/2020,844.6,896,918.5,840.3,1.50K,-6.26%
09/01/2020,901,917.8,917.8,862.7,3.17K,-3.71%
08/01/2020,935.7,976.9,"1,003.70",931.3,0.06K,2.58%
07/01/2020,912.2,845,979.4,817.5,0.99K,8.50%
06/01/2020,840.7,807.5,843.5,805.4,2.08K,-3.42%
05/01/2020,870.5,867.7,867.7,867.7,0.04K,7.54%
04/01/2020,809.5,717,807.6,708.9,0.06K,11.75%
03/01/2020,724.4,617.4,742.2,609.2,1.67K,-16.04%
02/01/2020,862.8,862.8,862.8,862.8,0.01K,-10.05%
01/01/2020,959.2,985,"1,035.00",956,0.30K,-1.26%
12/01/2019,971.4,933.5,981.1,929.7,2.22K,8.19%
11/01/2019,897.9,897.9,897.9,897.9,0.01K,-3.45%
10/01/2019,930,879.5,931.8,873.9,0.21K,5.28%
09/01/2019,883.4,951.6,988.6,880,4.62K,-4.97%
08/01/2019,929.6,855,937.4,855,0.03K,6.11%
07/01/2019,876.1,830.7,883.8,806.7,0.51K,4.86%
06/01/2019,835.5,796,837.6,796,6.98K,5.41%
05/01/2019,792.6,788.5,793.2,788.4,0.01K,-10.75%
04/01/2019,888.1,849.9,907.9,847.8,0.34K,4.62%
03/01/2019,848.9,840.2,864.4,814,7.10K,-2.76%
02/01/2019,873,823,873.5,786.7,0.05K,6.40%
01/01/2019,820.5,791.9,825.4,787.3,0.81K,3.09%
