Date,Price,Open,High,Low,Vol.,Change %
01/01/2025,32.27,29.19,32.92,29.19,139.92K,10.88%
12/01/2024,29.10,30.74,32.98,28.89,11.66K,-5.63%
11/01/2024,30.84,32.80,33.25,29.75,1.24M,-5.98%
10/01/2024,32.80,31.33,34.90,30.31,174.04K,4.25%
09/01/2024,31.46,28.65,32.86,27.96,135.06K,8.98%
08/01/2024,28.87,29.17,30.23,26.51,1.40M,-0.25%
07/01/2024,28.94,29.29,31.77,27.38,130.42K,-1.53%
06/01/2024,29.39,30.63,31.67,28.58,1.50M,-3.46%
05/01/2024,30.44,26.41,32.57,26.15,244.16K,14.73%
04/01/2024,26.53,25.14,29.91,24.86,2.22M,5.95%
03/01/2024,25.04,22.89,25.98,22.71,1.30M,9.43%
02/01/2024,22.89,23.44,23.63,22.12,103.24K,-1.71%
01/01/2024,23.28,24.05,24.34,22.04,1.10M,-3.34%
12/01/2023,24.09,25.53,26.05,22.70,85.51K,-4.77%
11/01/2023,25.29,22.96,25.33,21.93,1.24M,10.20%
10/01/2023,22.95,22.41,23.88,20.85,1.33M,2.24%
09/01/2023,22.45,24.82,25.22,22.33,1.12M,-9.52%
08/01/2023,24.81,25.25,25.43,22.59,527.83K,-2.06%
07/01/2023,25.34,23.29,25.82,23.06,45.96K,8.56%
06/01/2023,23.34,24.18,25.14,22.67,18.20K,-3.31%
05/01/2023,24.14,25.93,26.94,23.34,16.35K,-6.36%
04/01/2023,25.77,24.97,26.92,24.45,13.36K,3.71%
03/01/2023,24.85,21.90,24.98,20.62,8.16K,14.42%
02/01/2023,21.72,24.57,25.65,21.20,6.81K,-12.21%
01/01/2023,24.74,25.15,25.59,23.80,1.72K,-0.56%
12/01/2022,24.88,23.54,25.25,23.16,0.73K,10.08%
11/01/2022,22.60,19.95,23.15,19.95,0.87K,13.18%
10/01/2022,19.97,21.89,21.89,18.92,0.20K,1.35%
09/01/2022,19.70,18.25,19.88,18.25,0.13K,5.61%
08/01/2022,18.66,21.18,21.54,18.86,0.04K,-11.43%
07/01/2022,21.06,20.70,20.85,19.10,0.05K,-1.12%
06/01/2022,21.30,22.66,23.05,21.26,0.06K,-6.50%
05/01/2022,22.79,21.80,23.33,21.80,0.01K,-5.31%
04/01/2022,24.06,26.20,26.20,25.44,0.02K,-7.85%
03/01/2022,26.11,26.81,26.81,26.15,0.01K,4.09%
02/01/2022,25.09,22.75,25.68,22.05,0.00K,9.11%
01/01/2022,22.99,23.77,24.10,23.30,0.01K,-3.76%
12/01/2021,23.89,23.05,23.05,23.05,0.01K,2.43%
11/01/2021,23.32,24.19,25.70,23.53,0.19K,-4.30%
10/01/2021,24.37,22.61,24.28,22.61,0.01K,8.40%
09/01/2021,22.48,23.10,23.10,22.55,0.01K,-8.31%
08/01/2021,24.52,24.00,24.00,23.68,0.01K,-6.18%
07/01/2021,26.14,26.25,26.91,24.52,1.09M,-4.46%
06/01/2021,27.36,28.01,28.01,28.01,0.00K,-6.72%
05/01/2021,29.33,25.99,28.90,25.85,1.29M,7.72%
04/01/2021,27.23,27.40,27.40,27.40,0.00K,4.85%
03/01/2021,25.97,28.03,28.03,25.95,0.01K,-6.81%
02/01/2021,27.86,28.00,28.09,27.79,0.01K,0.63%
01/01/2021,27.69,27.20,27.20,27.20,0.00K,1.69%
12/01/2020,27.23,22.69,27.48,22.69,89.12K,16.04%
11/01/2020,23.46,23.71,26.13,22.23,3.60K,-5.24%
10/01/2020,24.76,23.36,25.71,22.87,1.37M,0.67%
09/01/2020,24.60,27.74,27.74,27.74,0.00K,-17.31%
08/01/2020,29.74,24.48,29.97,23.67,5.64K,15.42%
07/01/2020,25.77,18.58,26.28,18.00,2.15M,30.46%
06/01/2020,19.75,18.74,18.89,17.13,128.30K,1.44%
05/01/2020,19.47,15.08,18.50,14.76,985.35K,22.06%
04/01/2020,15.95,14.18,16.35,14.18,110.21K,6.24%
03/01/2020,15.02,16.50,17.62,11.64,1.92M,-14.54%
02/01/2020,17.57,18.14,18.96,16.40,350.83K,-8.60%
01/01/2020,19.22,17.91,18.90,17.28,1.73M,0.35%
12/01/2019,19.16,17.03,18.20,16.55,126.27K,4.23%
11/01/2019,18.38,18.12,18.21,16.68,4.94K,-5.52%
10/01/2019,19.45,17.05,18.35,16.94,1.54M,5.74%
09/01/2019,18.40,18.42,18.42,18.25,0.00K,-5.99%
08/01/2019,19.57,19.26,20.21,19.26,0.01K,9.61%
07/01/2019,17.85,15.32,16.69,14.92,1.79M,6.64%
06/01/2019,16.74,16.80,16.80,16.80,0.00K,3.42%
05/01/2019,16.19,14.98,15.00,14.27,1.22M,-3.97%
04/01/2019,16.86,15.18,15.30,14.74,130.02K,-1.02%
03/01/2019,17.03,15.63,15.67,14.99,1.17M,-3.83%
