
="",="(1)",="(2)",="(3)",="(4)"
="",="Precious Metals",="Argiculture",="Traditional Equities",="Hybrid"

="cpi",="0.000182***",="0.000058",="-0.000004",="0.000084**"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="spx_prem",="0.342138***",="0.448834***",="0.615831***",="0.450367***"
="",="(0.058)",="(0.075)",="(0.039)",="(0.042)"

="covid_crisis=0",="0.000000",="0.000000",="0.000000",="0.000000"
="",="(.)",="(.)",="(.)",="(.)"

="covid_crisis=1",="-0.001457",="0.009183",="0.005849",="0.003688"
="",="(0.009)",="(0.012)",="(0.006)",="(0.007)"

="covid_crisis=0 # spx_prem",="0.000000",="0.000000",="0.000000",="0.000000"
="",="(.)",="(.)",="(.)",="(.)"

="covid_crisis=1 # spx_prem",="0.264621*",="-0.283772",="0.087133",="-0.033077"
="",="(0.141)",="(0.183)",="(0.094)",="(0.103)"

="Constant",="-0.053922***",="-0.029433*",="-0.007522",="-0.031037***"
="",="(0.012)",="(0.016)",="(0.008)",="(0.009)"

="N",="420",="420",="420",="420"
="r2",="0.164",="0.099",="0.454",="0.282"
="r2_a",="0.156",="0.091",="0.449",="0.275"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
