
="",="(1)",="(2)",="(3)",="(4)"
="",="Precious Metals",="Argiculture",="Traditional Equities",="Hybrid"

="cpi",="0.000092",="0.000042",="-0.000015",="0.000045"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="spx_prem",="0.454684***",="0.452619***",="0.687630***",="0.488622***"
="",="(0.060)",="(0.079)",="(0.040)",="(0.044)"

="dot_crisis=0",="0.000000",="0.000000",="0.000000",="0.000000"
="",="(.)",="(.)",="(.)",="(.)"

="dot_crisis=1",="-0.025783***",="-0.023121**",="-0.011430**",="-0.019299***"
="",="(0.008)",="(0.010)",="(0.005)",="(0.006)"

="dot_crisis=0 # spx_prem",="0.000000",="0.000000",="0.000000",="0.000000"
="",="(.)",="(.)",="(.)",="(.)"

="dot_crisis=1 # spx_prem",="-0.334918***",="-0.278829*",="-0.248848***",="-0.230688**"
="",="(0.123)",="(0.161)",="(0.082)",="(0.089)"

="Constant",="-0.030528**",="-0.022201",="-0.002937",="-0.019470**"
="",="(0.013)",="(0.017)",="(0.009)",="(0.009)"

="N",="420",="420",="420",="420"
="r2",="0.181",="0.104",="0.464",="0.301"
="r2_a",="0.173",="0.095",="0.459",="0.295"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
