
="",="(1)",="(2)",="(3)",="(4)"
="",="Precious Metals",="Argiculture",="Traditional Equities",="Hybrid"

="cpi",="0.000155***",="0.000100",="0.000000",="0.000092**"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="spx_prem",="0.400614***",="0.405619***",="0.650658***",="0.454420***"
="",="(0.055)",="(0.071)",="(0.036)",="(0.040)"

="gfc_crisis=0",="0.000000",="0.000000",="0.000000",="0.000000"
="",="(.)",="(.)",="(.)",="(.)"

="gfc_crisis=1",="0.016976",="0.031049",="0.006338",="0.019947*"
="",="(0.016)",="(0.021)",="(0.011)",="(0.012)"

="gfc_crisis=0 # spx_prem",="0.000000",="0.000000",="0.000000",="0.000000"
="",="(.)",="(.)",="(.)",="(.)"

="gfc_crisis=1 # spx_prem",="0.003828",="0.171985",="-0.158149",="0.051386"
="",="(0.227)",="(0.295)",="(0.150)",="(0.164)"

="Constant",="-0.048240***",="-0.039018***",="-0.007934",="-0.033219***"
="",="(0.011)",="(0.015)",="(0.007)",="(0.008)"

="N",="420",="420",="420",="420"
="r2",="0.161",="0.098",="0.458",="0.288"
="r2_a",="0.153",="0.089",="0.452",="0.281"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
