
="",="(1)",="(2)",="(3)",="(4)"
="",="portmetal_prem",="portagri_prem",="portstock_prem",="porthybrid_prem"

="spx_prem",="0.424368***",="0.422405***",="0.631898***",="0.466250***"
="",="(0.052)",="(0.067)",="(0.034)",="(0.038)"

="Constant",="-0.014882***",="-0.016957***",="-0.007529***",="-0.013010***"
="",="(0.003)",="(0.003)",="(0.002)",="(0.002)"

="N",="420",="420",="420",="420"
="r2",="0.138",="0.087",="0.452",="0.269"
="r2_a",="0.136",="0.085",="0.450",="0.268"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
