
="",="(1)",="(2)",="(3)",="(4)"
="",="Precious Metals",="Argiculture",="Traditional Equities",="Hybrid"

="cpi",="0.000157***",="0.000100",="-0.000008",="0.000087**"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="spx_prem",="0.385071***",="0.394126***",="0.669061***",="0.459285***"
="",="(0.059)",="(0.077)",="(0.039)",="(0.042)"

="crisis=0",="0.000000",="0.000000",="0.000000",="0.000000"
="",="(.)",="(.)",="(.)",="(.)"

="crisis=1",="0.049003",="0.064689",="0.027791",="0.073620***"
="",="(0.036)",="(0.047)",="(0.024)",="(0.026)"

="crisis=0 # spx_prem",="0.000000",="0.000000",="0.000000",="0.000000"
="",="(.)",="(.)",="(.)",="(.)"

="crisis=1 # spx_prem",="0.399984",="0.531175",="0.046429",="0.513482**"
="",="(0.313)",="(0.406)",="(0.207)",="(0.225)"

="Constant",="-0.048380***",="-0.038599***",="-0.006155",="-0.031807***"
="",="(0.011)",="(0.015)",="(0.007)",="(0.008)"

="N",="420",="420",="420",="420"
="r2",="0.161",="0.097",="0.460",="0.296"
="r2_a",="0.153",="0.088",="0.455",="0.289"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
